Origin City,Origin State,Destination City,Destination State,Distance (km),Duration (s),Start Coordinates,End Coordinates
Chicago Heights,IL,Atlanta,Georgia,1111.119,37903,"41.5061459,-87.63558599999999","33.7483341,-84.3876896"
Bessemer,AL,Atlanta,Georgia,259.354,8882,"33.4016941,-86.9542891","33.7483341,-84.3876896"
Chilhowie,VA,Atlanta,Georgia,574.793,18844,"36.7984898,-81.6822684","33.7483341,-84.3876896"
Clanton,AL,Atlanta,Georgia,307.091,10276,"32.8387103,-86.6294101","33.7483341,-84.3876896"
Claremont,NC,Atlanta,Georgia,410.785,14730,"35.7149021,-81.1457034","33.7483341,-84.3876896"
Bentonville,AR,Atlanta,Georgia,1168.101,38853,"36.372334,-94.21019729999999","33.7483341,-84.3876896"
Atlanta,Georgia,Fort Payne,AL,191.978,7755,"33.748444,-84.3876568","34.4442217,-85.7196362"
Clear Lake,MN,Atlanta,Georgia,1899.985,62145,"45.4466173,-93.99630959999999","33.7483341,-84.3876896"
Benson,NC,Atlanta,Georgia,649.574,21146,"35.382202,-78.54878959999999","33.7483341,-84.3876896"
Birmingham,AL,Atlanta,Georgia,236.373,8088,"33.5185892,-86.8103567","33.7483341,-84.3876896"
Bloomfield,KY,Atlanta,Georgia,664.98,22066,"37.9102408,-85.31710939999999","33.7483341,-84.3876896"
Chattanooga,TN,Atlanta,Georgia,189.843,6494,"35.045063,-85.3112252","33.7483341,-84.3876896"
Chester,SC,Atlanta,Georgia,364.349,13068,"34.704819,-81.214214","33.7483341,-84.3876896"
Cherry Hill,NJ,Atlanta,Georgia,1264.534,43087,"39.9264966,-75.024091","33.7483341,-84.3876896"
Chesapeake,VA,Atlanta,Georgia,909.449,31552,"36.7687508,-76.28716899999999","33.7483341,-84.3876896"
