Origin City,Origin State,Destination City,Destination State,Distance (km),Duration (s),Start Coordinates,End Coordinates
Pleasant Prairie,WI,Dallas,Texas,1555.986,53108,"42.5530391,-87.93347349999999","32.7759428,-96.7967532"
Alachua,FL,Dallas,Texas,1557.054,51419,"29.7938445,-82.4944","32.7759428,-96.7967532"
Plainfield,IN,Dallas,Texas,1428.036,47062,"39.7042113,-86.3994623","32.7759428,-96.7967532"
Ridgeway,VA,Dallas,Texas,1795.661,60269,"36.576758,-79.8583948","32.7759428,-96.7967532"
Princeton,IL,Dallas,Texas,1369.123,47780,"41.368088,-89.4650137","32.7759428,-96.7967532"
Poynette,WI,Dallas,Texas,1623.526,55068,"43.3902647,-89.4027487","32.7759428,-96.7967532"
Opelousas,LA,Dallas,Texas,597.974,19213,"30.5335476,-92.08164839999999","32.7759428,-96.7967532"
Opelika,AL,Dallas,Texas,1141.814,38460,"32.6454268,-85.3782595","32.7759428,-96.7967532"
Albuquerque,NM,Dallas,Texas,1045.784,34471,"35.0843859,-106.650422","32.7759428,-96.7967532"
Ogden,UT,Dallas,Texas,2104.78,70755,"41.2228001,-111.9738374","32.7759428,-96.7967532"
Dallas,Texas,Richardson,TX,24.008,1159,"32.7759428,-96.7967532","32.94829,-96.72986809999999"
Omaha,NE,Dallas,Texas,1059.019,35261,"41.2565382,-95.9345105","32.7759428,-96.7967532"
Oklahoma City,OK,Dallas,Texas,332.848,11309,"35.4675612,-97.5164077","32.7759428,-96.7967532"
Ottawa,IL,Dallas,Texas,1385.359,47729,"41.3455892,-88.8426503","32.7759428,-96.7967532"
Dallas,Texas,Plano,TX,32.693,1569,"32.7759428,-96.7967532","33.0196876,-96.6988609"
Peoria,IL,Dallas,Texas,1283.497,44074,"40.6937483,-89.5890936","32.7759428,-96.7967532"
Phoenix,AZ,Dallas,Texas,1714.801,55561,"33.4482278,-112.0740555","32.7759428,-96.7967532"
Dallas,Texas,Sherman,TX,104.883,3829,"32.7759428,-96.7967532","33.6355815,-96.6088577"
